Product Handle,Variant SKU,Product Title,Gia VND,Duong dan anh (local)
snivy-mep-011,POKE-0092,Snivy MEP 011,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Snivy MEP 011.png
umbreon-ex-twm-217-187,POKE-0104,Umbreon ex TWM 217/187,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Umbreon ex TWM 217_187.png
tepig-070-066,POKE-0100,Tepig 070/066,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Tepig 070_066.png
snorlax-150-hp,POKE-0093,Snorlax 150 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Snorlax 150 HP.png
totodile-mep-046,POKE-0102,Totodile MEP 046,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Totodile MEP 046.png
umbreon-vmax-evs-095-203-2,POKE-0105,Umbreon VMAX EVS 095/203 (2),,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Umbreon VMAX EVS 095_203 (2).png
squirtle-mep-039,POKE-0096,Squirtle MEP 039,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Squirtle MEP 039.png
sylveon-ex-pre-156-131,POKE-0099,Sylveon ex PRE 156/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Sylveon ex PRE 156_131.png
squirtle-scr-148-142,POKE-0097,Squirtle SCR 148/142,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Squirtle SCR 148_142.png
tepig-mep-003,POKE-0101,Tepig MEP 003,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Tepig MEP 003.png
umbreon-ex-twm-217-187-2,POKE-0103,Umbreon ex TWM 217/187 (2),,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Umbreon ex TWM 217_187 (2).png
squirtle-svp-148,POKE-0098,Squirtle SVP 148,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Squirtle SVP 148.png
vaporeon-110-hp,POKE-0107,Vaporeon 110 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Vaporeon 110 HP.png
psyduck-199-193,POKE-0114,Psyduck 199/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon- Psyduck 199_193.png
weavile-208-203,POKE-0115,Weavile 208/203,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon- Weavile 208_203.png
zapdos-articuno-moltres-gx-sm210,POKE-0112,Zapdos & Articuno & Moltres GX SM210,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Zapdos & Articuno & Moltres GX SM210.png
venusaur-snivy-gx-065-064,POKE-0109,Venusaur & Snivy GX 065/064,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Venusaur & Snivy GX 065_064.png
jolteon-100-hp,POKE-0113,Jolteon 100 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon- Jolteon 100 HP.png
vaporeon-ex-pre-027-131,POKE-0108,Vaporeon ex PRE 027/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Vaporeon ex PRE 027_131.png
xerneas-asr-241-217,POKE-0111,Xerneas ASR 241/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Xerneas ASR 241_217.png
venusaur-ex-mew-198-165,POKE-0110,Venusaur ex MEW 198/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Venusaur ex MEW 198_165.png
